32034	5	32033	210
31437	5	31445	144
29118	1	23518	229
41749	1	42807	203
36050	8	30913	186
37735	3	25562	154
39087	7	44632	228
46650	1	46649	206
35018	0	35005	13
23509	5	23508	224
39041	3	24952	132
24173	5	4399	227
724	5	723	88
38175	0	39459	217
18400	5	18406	102
11547	5	29348	210
18157	5	27439	103
8185	0	17069	168
7252	5	31449	6
23327	7	23334	154
7233	5	7239	16
9796	0	9794	224
17277	5	33854	210
32624	5	32623	74
36612	0	22019	231
58367	0	58363	88
41292	3	14313	216
19180	5	19179	39
9048	0	11850	39
14919	5	14918	182
15131	0	29903	20
56477	5	56476	189
56472	0	2638	203
53518	0	51067	220
13127	5	13126	168
18249	1	22019	217
40135	6	22552	208
27065	0	38242	207
19878	0	19868	207
39160	5	21997	182
10471	5	10470	175
25544	1	23518	234
53519	3	53521	220
30769	5	30768	186
6883	5	6882	35
44386	0	44387	227
17629	8	44787	230
39914	0	39915	102
50960	0	3581	220
39467	1	39463	97
26381	0	26382	214
31762	5	31761	20
5264	1	52781	209
53486	2	53488	217
31047	0	31012	133
39434	9	39435	74
15001	5	15000	56
311	1	50769	206
38511	2	28781	226
54945	0	39459	231
40388	6	4740	77
33449	1	7297	235
50475	0	39369	26
35882	0	35884	191
55971	0	45604	235
35872	6	35894	210
55822	4	55820	221
39667	0	34735	200
20033	0	49398	230
41616	8	41610	192
57456	5	57455	193
40194	1	14556	207
36940	3	58103	208
23485	0	23473	140
14379	0	7911	204
22547	0	36314	76
4740	3	25462	171
40165	1	44190	226
18034	0	12484	42
57563	1	25990	144
41216	1	23519	114
56269	0	56266	210
5858	5	5857	105
47953	5	47961	220
54335	1	25820	229
5939	5	5938	130
50722	6	55336	1
56816	0	56819	217
59729	1	55231	157
30960	5	30959	74
57095	1	38279	214
11448	0	25820	229
39155	0	35836	217
45819	0	21988	172
17989	0	17980	223
20010	5	48894	227
5907	3	26413	209
19560	0	19558	105
18048	0	34495	224
37015	3	3043	178
27257	0	27234	56
50665	1	39523	228
17285	5	26748	210
57701	0	20671	83
53803	9	53804	223
18292	9	39359	19
34381	0	34334	39
55482	0	45491	82
28960	5	28959	217
52485	1	50875	207
3569	0	3530	13
54436	1	54432	230
59227	8	59172	173
28022	10	3706	228
19819	1	41497	203
8062	5	8061	63
25933	3	26195	214
51702	1	24905	129
4984	5	4982	13
15784	5	15783	77
35063	0	35021	42
11978	5	12013	140
52197	9	55803	178
47781	7	39137	220
19257	1	7297	230
35065	5	35064	42
14904	5	14903	16
42609	3	43629	222
10872	0	26844	91
39877	4	18184	214
30992	3	37551	90
25180	5	25273	13
1115	5	32442	210
10610	5	10611	210
41676	3	54862	231
15440	5	15439	193
41292	1	44296	227
30503	0	46187	205
46694	0	41436	207
55835	0	1	221
58057	0	22019	215
48302	5	2686	228
38039	0	7911	217
38717	4	38646	208
31884	5	31883	77
18674	5	18673	179
30316	5	2521	59
16120	0	40156	200
57487	5	57486	84
53444	0	1	217
26932	10	20010	219
9738	5	9737	119
19791	0	19785	182
56368	1	48444	222
13297	0	13293	168
26251	0	26244	203
237	5	10003	105
36034	8	30503	186
52766	0	45436	228
11484	5	11483	77
48472	1	48444	222
36360	0	50197	94
46309	0	39448	208
47366	0	46046	211
682	5	7508	63
48742	5	47464	196
20033	0	27617	231
45302	1	45311	130
54798	0	38579	231
14628	0	14629	228
39322	0	21988	158
5497	9	5713	218
32640	5	32686	112
50084	0	469	114
27622	5	27621	23
35894	9	52137	195
54369	0	54367	229
11968	5	11967	228
21248	5	21247	147
55929	0	25820	222
56666	0	56662	158
41676	0	41124	233
38497	1	55231	231
18527	5	18526	165
36546	6	39281	231
18221	10	42800	215
49444	0	13301	231
22956	5	22955	70
372	0	370	151
14284	1	14556	216
48302	1	39789	221
44544	2	10391	213
47125	0	47213	209
46431	0	48364	221
5907	3	35907	190
35916	9	41398	146
7984	5	7983	182
60662	5	339	193
25418	5	28383	214
45370	1	45042	74
37785	0	1725	221
20167	5	20188	56
26065	5	26064	182
37479	0	32232	75
32725	0	4908	20
20018	1	47030	208
36535	0	36566	181
55260	0	36459	75
37474	0	32862	72
30513	0	30486	27
11076	0	11077	112
19444	5	19443	144
10266	5	10265	91
42317	5	11030	196
60598	5	60597	189
38805	3	33470	143
56979	5	56977	67
16296	5	16295	42
21043	5	21042	210
36213	1	20671	45
20848	5	20871	63
47899	6	39049	220
31760	0	31736	20
8000	5	22968	13
53464	4	30154	234
435	5	19400	196
46210	0	41589	209
28857	5	28856	105
60296	9	38330	166
44172	3	44175	226
38234	0	27617	231
50089	3	50314	14
3731	5	3730	42
40115	9	16097	223
28241	5	28240	6
36612	1	59306	231
8787	5	8785	39
39433	1	7297	70
53731	0	50063	221
46713	0	14153	208
22690	0	38895	82
10115	0	38970	154
17253	5	17252	133
18047	5	18046	228
24312	0	24314	223
34069	5	34068	151
40340	1	40332	83
20033	0	40293	209
45103	0	18181	227
36671	0	25934	223
43863	0	51909	224
56835	5	56834	74
45830	0	17826	206
19984	0	50511	224
27115	0	27104	84
10808	0	10797	56
45871	0	47843	220
5488	5	6806	196
40621	0	45569	205
56352	5	56353	63
24605	0	24594	126
14837	5	14835	74
6484	0	55471	130
15244	0	2638	60
38497	0	55231	229
16395	5	16394	161
42433	0	49281	209
13298	9	28027	206
13212	5	22790	221
38350	5	41936	205
5305	0	24383	49
45745	1	39459	214
21765	5	21764	147
13314	3	51383	57
19409	5	19410	63
39033	0	46240	205
7447	0	4409	217
546	2	53036	213
34745	0	48977	227
41668	0	3209	203
3871	5	3872	154
35574	0	39890	182
39725	5	53752	221
41974	7	41975	205
29653	3	55322	209
24747	0	24789	111
28022	0	39326	215
37392	0	41738	53
44877	5	35338	130
29743	1	40778	227
18174	0	38589	182
30392	1	49931	233
45495	0	12594	98
14201	0	14194	119
27020	5	27019	189
41016	0	27617	220
282	5	11390	217
51902	5	51913	161
44946	5	30468	35
20033	0	25908	210
47102	9	37541	84
40614	10	40665	204
50742	2	55713	190
51134	10	41216	188
18926	0	18899	2
14297	1	41992	206
43011	4	54088	228
47953	5	47960	220
28887	5	24424	147
46578	0	46573	206
28836	5	28827	147
28027	9	39725	234
23150	2	52016	173
11176	5	11175	109
56519	5	56518	207
3168	5	3167	193
37707	0	546	164
44947	8	38351	151
23621	5	23620	175
57762	0	27291	126
38544	10	41779	220
34413	5	34412	88
26185	0	26161	46
58829	5	58828	42
26439	3	30512	222
10694	5	10693	98
6594	0	40729	204
50303	0	50306	14
6050	0	50702	27
43118	1	5865	216
50280	5	15460	158
2271	0	38214	213
33389	10	41676	233
44877	5	19527	70
6533	5	6532	130
38252	0	40761	226
25900	5	29745	23
37928	6	39667	200
23466	1	53464	174
17387	0	8813	56
58348	5	58347	91
46036	1	40185	204
36830	8	37061	213
48145	11	48146	221
40926	0	38970	63
54694	5	54697	230
42481	3	32589	210
21237	5	21236	217
27065	0	38315	228
58505	0	45414	182
59453	0	52938	221
60247	10	60746	138
6377	0	50832	196
13047	5	35735	221
20033	1	37588	232
24518	5	24515	81
1143	1	45732	210
50243	0	16102	223
11052	0	23328	203
7578	5	7577	6
39279	3	34676	222
13304	5	13303	112
30943	0	30925	116
46158	1	35833	206
33316	5	35723	46
15438	0	2924	60
40695	5	5111	74
17060	0	40167	87
12999	5	12998	84
28003	5	28002	154
45089	0	40445	89
60618	12	60541	171
32179	8	32001	204
57069	5	57068	144
41104	9	41102	203
22992	5	22991	168
51231	0	55270	9
50859	5	9513	27
23509	5	23512	182
40322	8	55186	223
2367	1	7297	207
25043	0	40372	79
5281	5	5280	35
2055	5	2054	147
22368	5	22365	217
22454	3	22482	73
51542	0	33086	89
19552	5	19550	133
2204	9	44326	122
17848	9	17873	42
43718	0	25685	166
6168	5	6167	112
36341	2	39459	82
50889	3	24537	190
8129	0	41420	115
53024	0	39623	213
50905	0	56463	179
31040	0	31012	154
26863	5	26862	39
40673	1	41164	213
4711	0	39727	76
11876	0	11850	182
39537	3	49293	160
21661	0	16550	26
31407	0	31405	81
25453	5	25452	2
32315	5	32341	56
14441	5	14440	95
13047	5	35784	39
36299	10	36301	70
35891	5	35895	191
36624	1	41436	147
9102	0	45355	161
22439	0	22440	189
4749	5	25666	130
3737	0	3733	172
55196	5	13160	119
55457	1	35994	20
16826	5	16825	182
44391	6	45785	227
8719	5	8718	175
47177	1	47178	209
30213	4	47522	214
35623	0	39890	88
52923	4	21192	211
29930	10	18292	180
31701	0	31672	60
44085	0	44054	225
10039	5	10038	105
985	1	28311	223
57380	5	57379	53
25179	0	25193	221
38897	0	30715	212
26439	10	49899	233
38702	1	32795	34
22620	0	22576	147
6720	0	56371	98
30907	0	31811	205
6679	5	13511	95
51402	0	51404	65
56187	0	56188	241
19057	0	45669	13
46914	1	46910	208
6920	5	6919	182
4177	5	4176	109
20534	5	20560	77
27400	5	27399	210
8462	0	8450	158
43504	0	43506	228
23735	3	32400	194
15246	0	2638	56
23340	0	23328	210
14590	0	14581	182
44390	0	21035	227
48700	3	48709	83
43471	0	41381	221
39972	3	43310	170
26450	6	38497	220
16338	0	59306	215
21459	5	30868	144
25665	0	27079	126
26688	5	26686	151
2156	5	2155	207
31870	5	31893	175
50270	0	546	241
1653	5	1652	186
40592	0	45021	144
46891	5	27601	42
5066	5	5065	95
16702	0	56371	200
30989	5	30988	46
55438	0	55439	17
11675	5	11674	70
34238	0	34214	74
43549	1	41154	221
38109	0	38111	223
53171	0	39459	215
29343	5	29342	214
36501	1	36502	129
23014	5	23013	74
52363	0	39307	207
16656	9	16929	103
20449	5	20448	77
39632	0	25298	229
37319	6	37322	11
59577	5	59576	112
16814	0	7377	193
31954	0	50456	186
41136	9	39377	36
2263	0	34214	23
14179	7	43853	223
41535	0	29734	230
16595	5	16594	23
9731	3	29644	228
21147	9	21658	23
4711	3	28116	80
40378	1	34495	79
53931	10	56722	159
26905	0	26906	126
12287	0	8703	154
16799	5	16798	193
38452	8	38225	227
58407	5	5025	88
19176	0	19173	112
55794	6	47725	219
40629	0	45334	226
35848	0	38825	200
31951	0	50456	189
40753	3	41522	229
19537	2	13114	123
4169	5	4168	60
41705	1	51136	203
9572	3	7025	157
24786	5	34920	70
21863	5	21862	147
309	1	55876	216
45006	1	42255	201
41368	5	30546	81
3457	0	3426	35
2892	0	2893	189
20734	0	50500	175
984	0	59653	238
54955	0	40154	234
39800	1	16347	230
57636	0	57634	70
45356	0	50949	80
59692	4	45407	173
3574	5	29066	182
56754	10	40769	222
22196	5	22193	130
57661	0	57662	217
14313	3	38307	166
51047	9	51109	221
39725	0	39326	214
41048	11	41052	185
50215	3	50269	16
5250	5	30911	63
15186	0	15168	193
10017	5	10016	210
45034	1	45040	144
49934	0	46027	204
1940	5	1939	119
49369	0	34484	230
10261	0	21295	206
23714	1	50693	187
40310	10	19257	153
54945	0	36035	186
10844	5	10843	67
16975	0	16914	179
41181	1	23563	114
46082	0	37845	205
33261	0	33249	133
39891	0	25820	221
33013	0	33014	228
6596	2	53871	224
12000	5	11999	161
45718	1	51725	136
4878	5	4880	70
15189	0	34782	193
19778	0	24969	60
34387	3	59713	205
17920	5	18606	74
48403	1	48404	222
50594	1	50881	229
42197	9	42198	207
51932	2	53864	224
506	8	43228	218
23670	9	23671	187
43858	0	25913	224
10896	5	10897	112
8542	0	8450	27
12363	5	12362	27
49860	9	49837	233
33900	5	17189	67
36703	0	36704	177
20475	0	20473	77
7611	5	7608	53
23977	0	45275	210
55538	9	55640	155
54607	3	38420	230
686	5	16865	95
49622	1	49619	231
43153	6	40071	217
32875	0	47949	112
31515	5	31514	46
44946	3	53780	228
35364	5	35363	102
44219	9	44217	226
18373	5	18372	20
6259	5	6258	35
54735	0	45162	230
56718	1	21018	208
10273	0	50958	67
40257	0	27576	84
22481	0	22450	229
22454	0	13138	229
25789	5	25788	168
59895	0	48210	35
55482	3	7317	155
38449	1	41840	227
34030	5	34029	217
13816	0	55309	140
27375	0	27363	53
40634	1	40636	227
42045	10	36671	213
30086	2	39948	223
19730	0	19718	60
39284	1	57182	210
53600	0	53601	220
22153	6	22165	48
33389	10	49899	233
50934	6	50753	228
28137	3	12486	213
34355	0	34334	151
57384	5	57383	35
39198	1	7297	208
6373	0	11711	158
47261	3	18274	227
24989	5	24988	217
28769	0	28766	116
21638	5	21637	161
39810	0	13287	242
49752	0	25934	232
4654	10	4711	230
39015	9	51697	128
27650	0	27635	95
46788	11	38848	207
26386	0	26382	189
3559	0	3530	46
7016	5	7024	39
26526	5	26525	130
12594	4	40293	217
280	5	18949	151
2049	0	1725	179
16775	0	38233	229
58795	5	58794	112
