459	10	939	549
1516	10	35	499
96	3	480	539
1765	1	459	508
1052	10	199	551
141	11	1394	550
18	0	1864	352
142	10	470	437
1390	3	800	546
1086	10	1468	326
461	3	1501	546
1592	11	234	479
1541	9	77	375
117	10	347	553
479	10	1532	551
698	10	705	435
1222	10	716	502
293	10	1842	518
1405	2	324	551
228	11	1376	502
101	10	939	539
603	2	1362	165
1392	2	899	510
819	3	1727	539
1599	11	1476	506
450	3	1909	470
974	10	827	504
861	3	1974	510
1813	1	1381	447
713	10	1258	551
1381	10	1142	552
1546	10	1713	426
1086	10	71	326
1480	6	1375	357
1725	10	291	202
981	7	1790	531
551	3	73	537
305	10	716	213
1130	11	1476	505
1668	2	199	477
1296	1	1279	549
401	0	791	398
315	1	1928	406
864	10	1793	511
1225	10	1233	480
667	10	374	501
662	10	526	364
1164	11	211	549
1212	10	602	400
530	10	25	157
166	10	1782	551
751	10	1216	479
184	6	1760	552
1183	10	1048	503
184	1	1381	447
459	10	487	551
297	10	103	409
174	11	1719	485
1267	10	1778	554
1982	9	504	153
1745	2	146	415
53	2	773	445
647	2	1030	551
1249	3	1563	481
421	10	1760	415
497	10	1610	526
1267	3	270	521
1132	6	1587	484
1928	3	101	518
473	3	1505	550
1206	10	221	508
121	10	1074	293
1808	11	1352	551
785	11	1297	545
393	6	1536	413
450	3	1020	338
1601	3	574	422
1291	6	1188	552
1083	10	1693	430
1347	7	1833	395
1052	3	1812	478
1770	10	1486	485
215	11	111	551
1648	10	1139	424
1620	10	823	401
745	11	1928	552
428	10	1372	484
657	3	163	516
1237	3	450	548
1113	9	800	420
1512	10	1359	539
174	11	524	503
1119	10	1652	492
1479	11	1058	550
173	10	988	453
1837	3	128	398
625	3	1696	315
528	10	1606	534
1838	10	853	534
166	10	1607	459
1648	10	741	480
479	6	324	553
1158	10	1198	361
1501	10	1100	550
1360	10	213	500
984	10	944	418
1788	6	1353	528
184	7	390	351
840	3	566	550
1812	3	428	290
1603	10	401	473
482	6	1326	534
428	1	88	460
1381	1	241	549
825	1	728	445
1118	10	432	156
819	3	88	553
387	9	387	470
1124	10	1280	392
315	10	1353	448
59	10	1127	550
930	10	1366	310
864	3	1909	502
1476	6	1810	370
101	10	671	452
1743	10	369	519
599	10	544	505
729	10	1003	486
315	11	1945	544
1248	6	1554	536
1043	2	791	431
131	10	1636	487
1788	3	1643	510
77	10	922	83
1442	3	610	542
576	10	487	512
1979	10	1846	551
1304	6	277	503
835	1	1376	506
1279	10	1864	548
997	10	596	447
910	10	1621	518
1556	10	782	253
869	3	101	360
1711	0	1782	437
688	10	639	503
1122	10	1072	523
1097	1	1296	519
1690	9	1690	502
192	11	40	502
206	2	1757	400
222	3	1601	333
421	10	944	550
277	0	374	545
214	10	153	357
1328	6	124	515
1147	10	1882	319
370	3	1812	416
787	6	425	554
992	10	1831	412
1757	2	1392	319
1697	10	1100	551
530	10	1857	520
1832	11	1215	382
1976	7	241	548
683	10	1760	550
1636	0	286	502
1059	1	1272	430
1168	3	1249	508
1928	10	451	552
698	10	178	435
667	10	1544	479
428	10	1218	479
1479	11	1714	497
1714	10	290	410
1808	10	613	489
1325	6	917	553
1812	9	128	415
1381	1	1974	550
40	11	82	460
779	3	450	546
1377	10	1826	498
1240	10	221	402
117	3	1168	345
1272	10	451	549
439	3	1223	504
574	6	607	554
1017	3	175	548
1692	6	1985	384
1576	6	1522	553
444	6	1105	551
1820	3	1308	509
423	10	3	520
1574	10	987	546
1086	10	916	464
1111	0	586	445
1599	4	423	546
1770	10	1700	413
1426	11	1974	537
1347	10	1392	552
1269	1	1837	405
117	10	367	501
551	6	1060	552
1423	10	514	472
639	2	789	552
293	10	161	487
